doi                       , autor, revista, apellido, pais
10.1007/s42524-024-3128-5 ,      ,        ,         , GB
10.1007/s42524-024-3128-5 ,      ,        ,         , CN
10.1007/s10639-024-13076-1,      ,        ,         , MO
10.1007/s44244-023-00012-4,      ,        ,         , GH
10.1007/s00706-024-03246-9,      ,        ,         , CZ
10.1007/s12325-025-03273-w,      ,        ,         , GB
10.1007/s44174-025-00493-0,      ,        ,         , IN
10.1007/s11606-025-09427-4,      ,        ,         , US
10.1007/s11747-025-01100-w,      ,        ,         , US
10.1007/s11747-025-01100-w,      ,        ,         , IT
10.1007/s44217-024-00173-z,      ,        ,         , CA
10.1007/s44217-024-00173-z,      ,        ,         , GH
10.1007/s00066-024-02272-0,      ,        ,         , DE
10.1007/s43995-025-00186-1,      ,        ,         , SA
10.1007/s41965-024-00172-x,      ,        ,         , HK
10.1007/s41965-024-00172-x,      ,        ,         , CN
10.1007/s00066-024-02272-0,      ,        ,         , DE
10.1007/s44217-024-00173-z,      ,        ,         , CA
10.1007/s44217-024-00173-z,      ,        ,         , GH
10.1007/s41965-024-00172-x,      ,        ,         , HK
10.1007/s41965-024-00172-x,      ,        ,         , CN
10.1007/s10956-023-10039-y,      ,        ,         , AU
10.1007/s43681-025-00688-7,      ,        ,         , US
10.1007/s41999-024-01070-2,      ,        ,         , ES
10.1007/s00345-024-05311-8,      ,        ,         , FR
10.1007/s40979-025-00199-2,      ,        ,         , CL
10.1007/s40670-023-01934-5,      ,        ,         , AU
10.1007/s00405-024-08621-0,      ,        ,         , IT
10.1007/s44186-024-00271-4,      ,        ,         , US
10.1007/s44186-024-00271-4,      ,        ,         , CA
10.1007/s00146-025-02625-y,      ,        ,         , GB
10.1007/s40596-024-02087-2,      ,        ,         , US
10.1007/s40596-024-02087-2,      ,        ,         , CA
10.1007/s00266-025-04954-1,      ,        ,         , IT
10.1007/s00894-025-06376-x,      ,        ,         , IN
10.1007/s11430-024-1452-3 ,      ,        ,         , CN
10.1007/s40820-024-01634-8,      ,        ,         , US
10.1007/s40820-024-01634-8,      ,        ,         , HK
10.1007/s00146-024-02073-0,      ,        ,         , CN
10.1007/s40592-025-00256-z,      ,        ,         , US
10.1007/s00384-024-04677-w,      ,        ,         , IN
10.1007/s40823-024-00103-7,      ,        ,         , US
10.1007/s11916-024-01297-5,      ,        ,         , JP
10.1007/s11916-024-01297-5,      ,        ,         , US
10.1007/s40593-025-00518-1,      ,        ,         , ES
10.1007/s13042-025-02536-w,      ,        ,         , CN
10.1007/s40593-025-00518-1,      ,        ,         , ES
10.1007/s44163-024-00105-8,      ,        ,         , BR
10.1007/s11431-024-2732-9 ,      ,        ,         , CN
10.1007/s00266-025-05010-8,      ,        ,         , BE
10.1007/s00266-025-05010-8,      ,        ,         , US
10.1007/s00266-025-05010-8,      ,        ,         , ES
10.1007/s00266-025-05010-8,      ,        ,         , FR
10.1007/s00266-025-05010-8,      ,        ,         , IT
10.1007/s40290-025-00561-2,      ,        ,         , US
10.1007/s42438-024-00455-7,      ,        ,         , GR
10.1007/s42979-024-03074-y,      ,        ,         , US
10.1007/s00521-025-11604-9,      ,        ,         , PL
10.1007/s00521-025-11604-9,      ,        ,         , BE
10.1007/s00521-025-11604-9,      ,        ,         , GR
10.1007/s00521-025-11604-9,      ,        ,         , UA
10.1007/s00521-025-11604-9,      ,        ,         , GB
10.1007/s00521-025-11604-9,      ,        ,         , BG
10.1007/s44163-025-00229-5,      ,        ,         , JP
10.1007/s12262-024-04093-y,      ,        ,         , TR
10.1007/s00146-024-02004-z,      ,        ,         , IT
10.1007/s11934-024-01239-z,      ,        ,         , US
10.1007/s10916-025-02223-x,      ,        ,         , US
10.1007/s13668-025-00680-x,      ,        ,         , US
10.1007/s12008-023-01721-x,      ,        ,         , IN
10.1007/s13668-025-00680-x,      ,        ,         , US
10.1007/s12008-023-01721-x,      ,        ,         , IN
10.1007/s43039-025-00117-x,      ,        ,         , IT
10.1007/s42250-024-00976-5,      ,        ,         , IN
10.1007/s10755-024-09749-x,      ,        ,         , US
10.1007/s10755-024-09749-x,      ,        ,         , SA
10.1007/s00521-024-09960-z,      ,        ,         , IN
10.1007/s00521-024-09960-z,      ,        ,         , FR
10.1007/s11430-024-1309-9 ,      ,        ,         , CN
10.1007/s40725-024-00234-4,      ,        ,         , PL
10.1007/s40725-024-00234-4,      ,        ,         , ES
10.1007/s10639-024-13129-5,      ,        ,         , US
10.1007/s11912-025-01688-w,      ,        ,         , US
10.1007/s40501-025-00359-8,      ,        ,         , US
10.1007/s11845-023-03537-w,      ,        ,         , IN
10.1007/s00146-025-02555-9,      ,        ,         , IR
10.1007/s13555-025-01459-2,      ,        ,         , CN
10.1007/s11517-025-03429-4,      ,        ,         , IR
10.1007/s10586-025-05126-1,      ,        ,         , LT
10.1007/s10586-025-05126-1,      ,        ,         , IN
10.1007/s11528-023-00926-x,      ,        ,         , US
10.1007/s11528-023-00926-x,      ,        ,         , NL
10.1007/s11528-023-00926-x,      ,        ,         , US
10.1007/s11528-023-00926-x,      ,        ,         , NL
10.1007/s11517-025-03429-4,      ,        ,         , IR
10.1007/s00146-023-01841-8,      ,        ,         , DE
10.1007/s00146-023-01841-8,      ,        ,         , QA
10.1007/s11934-025-01277-1,      ,        ,         , US
10.1007/s13668-025-00635-2,      ,        ,         , BR
10.1007/s11596-024-2960-5 ,      ,        ,         , CN
10.1007/s11596-024-2960-5 ,      ,        ,         , HK
10.1007/s11934-024-01252-2,      ,        ,         , US
10.1007/s11547-024-01886-9,      ,        ,         , KR
10.1007/s13218-024-00867-4,      ,        ,         , DE
10.1007/s11596-024-2960-5 ,      ,        ,         , CN
