component_id,terms
1,machine learning
2,generative models
3,prompting
4,ethics
5,training data
6,fine-tuning
7,multimodality
8,"explainability, transparency"
9,privacy
10,human-ai interaction
11,ai literacy
12,co-creation
13,personalization
14,algorithmic bias
